step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/grad_norm_step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/grad_norm_timestamp,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/grad_norm_step,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/grad_norm_timestamp,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/grad_norm_step,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/grad_norm_timestamp
5,1.3283318281173706,1779249005000,1.057814359664917,1779248046000,0.7889681458473206,1779247096000
10,1.2751790285110474,1779249020000,1.2187354564666748,1779248061000,0.9290932416915894,1779247112000
15,0.9601688981056212,1779249035000,0.90412175655365,1779248075000,0.8530183434486389,1779247128000
20,1.0060508251190186,1779249051000,0.7956329584121704,1779248091000,0.7528385519981384,1779247143000
25,0.9580246806144714,1779249067000,0.8240010142326355,1779248106000,0.7011687755584717,1779247160000
30,1.1985957622528076,1779249083000,1.0301036834716797,1779248121000,0.9633421897888184,1779247174000
35,1.0154764652252195,1779249101000,0.8515878319740295,1779248137000,0.6840752959251404,1779247190000
40,0.9594443440437316,1779249118000,0.8230909109115601,1779248153000,0.6802830100059509,1779247206000
45,0.9497255682945251,1779249134000,0.8135412335395813,1779248170000,0.6776174306869507,1779247224000
50,1.0335640907287598,1779249152000,0.8348698019981384,1779248186000,0.6081568002700806,1779247239000
55,0.8826900720596313,1779249170000,0.721682071685791,1779248202000,0.6000023484230042,1779247256000
60,0.884682834148407,1779249187000,0.7891858816146851,1779248218000,0.6574861407279968,1779247274000
65,0.9775936603546144,1779249202000,0.79572594165802,1779248234000,0.6538485288619995,1779247290000
70,1.0791293382644649,1779249219000,0.9271971583366394,1779248248000,0.746965765953064,1779247304000
75,0.9107317328453064,1779249234000,0.7494906187057495,1779248263000,0.6029447317123413,1779247321000
80,0.9423490166664124,1779249250000,0.7691471576690674,1779248278000,0.6156592965126038,1779247337000
85,1.406249761581421,1779249263000,1.1965020895004272,1779248291000,1.0357688665390017,1779247350000
90,0.8084078431129456,1779249278000,0.6642199754714966,1779248307000,0.5528885126113892,1779247365000
95,0.8996824026107788,1779249294000,0.7672322988510132,1779248322000,0.6550837755203247,1779247384000
100,1.0099841356277466,1779249309000,0.854508638381958,1779248338000,0.703711986541748,1779247401000
105,0.882511556148529,1779249336000,0.7254045605659485,1779248361000,0.5932444334030151,1779247425000
110,0.9327645897865297,1779249352000,0.7636058926582336,1779248377000,0.6407051086425781,1779247442000
115,0.9884538650512696,1779249368000,0.8145936131477356,1779248393000,0.6618028283119202,1779247458000
120,0.9985415935516356,1779249385000,0.8168582916259766,1779248408000,0.6878316402435303,1779247474000
125,0.9214338064193726,1779249400000,0.7607954144477844,1779248425000,0.6325945258140564,1779247489000
130,0.8587350845336914,1779249417000,0.7074300646781921,1779248440000,0.5797701478004456,1779247504000
135,0.983346164226532,1779249434000,0.8282864093780518,1779248454000,0.6981646418571472,1779247518000
140,0.9820603132247924,1779249450000,0.8407697081565857,1779248469000,0.7265307903289795,1779247535000
145,0.9969099164009094,1779249465000,0.8095336556434631,1779248483000,0.6506936550140381,1779247550000
150,0.9142552614212036,1779249482000,0.7383907437324524,1779248501000,0.5962129831314087,1779247565000
155,0.9725285172462464,1779249498000,0.7721801996231079,1779248517000,0.6130513548851013,1779247581000
160,1.1580407619476318,1779249514000,0.9437857270240784,1779248532000,0.7785825729370117,1779247597000
165,1.1323976516723633,1779249530000,0.9271866083145142,1779248547000,0.7742851972579956,1779247612000
170,1.5033645629882812,1779249545000,1.2585687637329102,1779248560000,1.0511997938156128,1779247624000
175,1.0849242210388184,1779249560000,0.8781991004943848,1779248577000,0.7054288387298584,1779247642000
180,0.9143813848495485,1779249576000,0.7415693402290344,1779248593000,0.5935614705085754,1779247656000
185,0.890311598777771,1779249592000,0.7281951904296875,1779248610000,0.596007227897644,1779247671000
190,0.9095908403396606,1779249608000,0.7455061674118042,1779248625000,0.6131575107574463,1779247687000
195,1.0579763650894165,1779249624000,0.8498730659484863,1779248640000,0.6721383333206177,1779247703000
200,0.8849989771842957,1779249641000,0.7086990475654602,1779248656000,0.5581872463226318,1779247718000
205,1.0974040031433103,1779249667000,0.8956349492073059,1779248680000,0.741452693939209,1779247741000
210,0.9423458576202391,1779249684000,0.7726478576660156,1779248695000,0.6150223612785339,1779247760000
215,1.0661894083023071,1779249700000,0.8665016293525696,1779248710000,0.6907403469085693,1779247776000
220,1.0574393272399902,1779249716000,0.8662362098693848,1779248729000,0.7245293259620667,1779247792000
225,0.9935966730117798,1779249733000,0.7993901371955872,1779248747000,0.6394109725952148,1779247808000
230,1.0656059980392456,1779249749000,0.872985303401947,1779248764000,0.6956878304481506,1779247825000
235,1.0872048139572144,1779249765000,0.88601154088974,1779248781000,0.7217128276824951,1779247842000
240,1.0084046125411987,1779249780000,0.8421167135238647,1779248796000,0.6823635697364807,1779247859000
245,0.9578981399536132,1779249796000,0.774860680103302,1779248812000,0.623119056224823,1779247877000
250,0.8819751739501953,1779249812000,0.7266635894775391,1779248828000,0.5890204906463623,1779247894000
255,1.6296417713165283,1779249826000,1.308754563331604,1779248842000,1.034954071044922,1779247907000
